Player;Turn;Word;Length;Rack;Letters_Used;Direction;Start;Player_Score;Move_Score;Win
PLAYER_1;1;EAU;3;AEIPUFA;EAU;Horizontal;[7, 8];6;6;1
PLAYER_2;2;TELE;4;EOLXETW;TLE;Vertical;[10, 5];6;6;-1
PLAYER_1;3;EAT;3;IPFAEAT;EAT;Vertical;[11, 4];16;10;1
PLAYER_2;4;WEE;3;OXEWEKE;WEE;Vertical;[12, 3];26;20;-1
PLAYER_1;5;AI;2;IPFAATO;AI;Vertical;[7, 4];20;4;1
PLAYER_2;6;SEX;3;OXKEISA;SEX;Vertical;[12, 6];43;17;-1
PLAYER_1;7;TOIT;4;PFATOIT;TOIT;Horizontal;[12, 10];38;18;1
PLAYER_2;8;GIN;3;OKIAGAN;GIN;Horizontal;[12, 4];58;15;-1
PLAYER_1;9;ALFA;4;PFAVDLA;ALFA;Vertical;[7, 3];60;22;1
PLAYER_2;10;AORTA;5;OKAAROI;AORA;Vertical;[14, 9];67;9;-1
PLAYER_1;11;SPIED;5;PVDOISE;SPIED;Vertical;[10, 10];71;11;1
PLAYER_2;12;SKEED;5;KOIDEEO;KEED;Horizontal;[5, 15];79;12;-1
PLAYER_1;13;RALE;4;VOLARON;RAL;Horizontal;[11, 4];81;10;1
PLAYER_2;14;RATIO;5;OIOTRWE;RTIO;Horizontal;[3, 7];84;5;-1
PLAYER_1;15;ONE;3;VOONHMN;ON;Vertical;[6, 12];84;3;1
PLAYER_2;16;EX;2;OWEYUQD;E;Horizontal;[11, 7];93;9;-1
PLAYER_1;17;NAG;3;VOHMNBN;N;Vertical;[13, 1];88;4;1
PLAYER_2;18;ORA;3;OWYUQDA;OA;Vertical;[5, 2];101;8;-1
PLAYER_1;19;OH;2;VOHMBNP;OH;Vertical;[10, 8];101;13;1
PLAYER_2;20;DAY;3;WYUQDYU;DY;Horizontal;[13, 11];111;10;-1
PLAYER_1;21;MO;2;VMBNPME;M;Horizontal;[2, 3];105;4;1
PLAYER_2;22;UT;2;WUQYUHR;U;Vertical;[4, 4];113;2;-1
PLAYER_1;23;ONE;3;VBNPMEO;ONE;Horizontal;[2, 14];119;14;1
PLAYER_2;24;HOY;3;WQYUHRL;HY;Vertical;[5, 6];126;13;-1
PLAYER_1;25;ODE;3;VBPMDEG;DE;Horizontal;[3, 15];127;8;1
PLAYER_2;26;ULUS;4;WQURLZS;ULS;Vertical;[9, 7];132;6;-1
PLAYER_1;27;GONE;4;VBPMGFI;G;Horizontal;[2, 14];132;5;1
PLAYER_2;28;ER;2;WQRZCUN;R;Horizontal;[10, 8];134;2;-1
PLAYER_1;29;IF;2;VBPMFIC;F;Horizontal;[7, 12];141;9;1
PLAYER_2;30;INCUR;5;WQZCUNI;INCU;Vertical;[12, 0];157;23;-1
PLAYER_1;31;BIO;3;VBPMICB;BI;Vertical;[3, 11];149;8;1
PLAYER_2;32;IT;2;WQZOTIR;IT;Vertical;[8, 1];161;4;-1
PLAYER_1;33;ER;2;VPMCBVR;R;Vertical;[7, 13];151;2;1
PLAYER_2;34;WED;3;WQZORJS;W;Vertical;[4, 13];175;14;-1
PLAYER_1;35;ERN;3;VPMCBVN;N;Vertical;[8, 13];154;3;1
PLAYER_2;36;GINS;4;QZORJSI;S;Horizontal;[12, 5];180;5;-1
PLAYER_1;37;PAL;3;VPMCBVG;P;Horizontal;[4, 4];159;5;1
PLAYER_2;38;PI;2;QZORJI;I;Horizontal;[6, 12];194;14;-1
PLAYER_1;39;MUT;3;VMCBVG;M;Vertical;[4, 4];164;5;1
PLAYER_2;40;OR;2;QZORJ;OR;Horizontal;[0, 15];208;14;-1
PLAYER_1;41;GIB;3;VCBVG;GB;Vertical;[5, 5];184;20;1
PLAYER_2;42;HADJ;4;QZJ;J;Horizontal;[9, 12];223;15;-1
PLAYER_1;1;CEE;3;ECELCTO;CEE;Horizontal;[7, 10];10;10;-1
PLAYER_2;2;BES;3;LAUDNSB;BS;Vertical;[9, 8];9;9;1
PLAYER_1;3;TEE;3;LCTOOEL;TE;Vertical;[8, 9];19;9;-1
PLAYER_2;4;THUD;4;LAUDNHK;HUD;Horizontal;[5, 13];17;8;1
PLAYER_1;5;MA;2;LCOOLAM;MA;Horizontal;[4, 13];30;11;-1
PLAYER_2;6;KOINE;5;LANKIEO;KOINE;Vertical;[5, 13];40;23;1
PLAYER_1;7;COLOR;5;LCOOLRT;OLOR;Vertical;[12, 7];40;10;-1
PLAYER_2;8;EMU;3;LAERETU;E;Vertical;[6, 11];50;10;1
PLAYER_1;9;LITRE;5;CLTIELH;LITE;Horizontal;[11, 9];45;5;-1
PLAYER_2;10;TAKE;4;LARETUT;TAE;Horizontal;[0, 15];77;27;1
PLAYER_1;11;CELT;4;CLHEPAN;CEL;Vertical;[12, 6];66;21;-1
PLAYER_2;12;LO;2;LRUTNPO;LO;Horizontal;[12, 5];81;4;1
PLAYER_1;13;HAE;3;HPANERU;HA;Horizontal;[3, 12];72;6;-1
PLAYER_2;14;NOT;3;RUTNPFM;NT;Horizontal;[1, 15];88;7;1
PLAYER_1;15;ORLOP;5;PNERUOE;ORP;Vertical;[14, 4];86;14;-1
PLAYER_2;16;PIPE;4;RUPFMEI;IPE;Horizontal;[13, 8];98;10;1
PLAYER_1;17;UN;2;NEUEJIN;UN;Horizontal;[2, 11];95;9;-1
PLAYER_2;18;FUR;3;RUFMGDY;FUR;Vertical;[3, 8];109;11;1
PLAYER_1;19;FINE;4;EEJINFV;FINE;Vertical;[11, 3];110;15;-1
PLAYER_2;20;EDS;3;MGDYNIS;DS;Vertical;[14, 8];124;15;1
PLAYER_1;21;ANA;3;EJVOAAO;A;Vertical;[3, 12];120;10;-1
PLAYER_2;22;AMI;3;MGYNIAU;AMI;Vertical;[8, 2];137;13;1
PLAYER_1;23;VERA;4;EJVOAOR;VERA;Vertical;[6, 1];133;13;-1
PLAYER_2;24;AN;2;GYNUZOA;AN;Horizontal;[14, 8];153;16;1
PLAYER_1;25;LOW;3;JOORNWT;W;Horizontal;[10, 9];147;14;-1
PLAYER_2;26;DUO;3;GYUZOID;UO;Horizontal;[12, 11];157;4;1
